,F_value,pvalue,value_counts,name
argsuc_c,8.11713552726537,0.012189679251838887,"[(0.22901511758521853, 1), (0.5993225488558701, 1), (0.9999999999988264, 1), (0.22901511758561977, 1), (0.22901511758562443, 1), (0.280037058834136, 1), (0.599322548855875, 1), (0.9999999999988359, 1), (0.599322548855887, 1), (0.605776847939255, 1), (0.9999999999988426, 1), (0.22901511758561688, 1), (0.5913861362942568, 1), (0.2800370588341373, 1), (0.7253994536328053, 1), (0.2800370588341362, 1), (0.22901511758562, 1)]",N-omega--L-Arginino-succinate
PIM5_c,8.107267377123422,0.012232469364893993,"[(0.25583865910314263, 1), (0.38961651049796664, 1), (0.833129345971276, 1), (0.24434701462650518, 1), (0.2820750184012376, 1), (0.23999044061855765, 1), (0.4972874241767343, 1), (0.850439121284476, 1), (0.4924951960223223, 1), (0.4822285936402817, 1), (0.8347070315261665, 1), (0.24434701462650424, 1), (0.5507937258865975, 1), (0.23708251448508524, 1), (0.4485167009525095, 1), (0.1791958809947368, 1), (0.24434701462650724, 1)]",phosphatidylinositol-mannoside-penta-mannose-tuberculosis
Ac1PIM3_c,8.069126266944002,0.012399485935380244,"[(0.19251495457280832, 1), (0.34647409800831785, 1), (0.6670552216024114, 1), (0.17334417988937573, 1), (0.25087287234983474, 1), (0.19885333745953226, 1), (0.4614598748327068, 1), (0.7431551868582964, 1), (0.4151244675502733, 1), (0.4316652672553042, 1), (0.6696871733962279, 1), (0.1733441798893739, 1), (0.5052524718739352, 1), (0.218700345235058, 1), (0.3936584431939888, 1), (0.1582854689742596, 1), (0.1733441798893781, 1)]",acyl-phosphatidylinositol-mannoside-tri-mannose-tuberculosis
ppgpp_c,8.05980026290986,0.012440721179853863,"[(0.2676294686236909, 1), (0.6602858769772348, 1), (0.9408586196916406, 1), (0.2676294686242215, 1), (0.2676294686242238, 1), (0.2866306720947714, 1), (0.66028587697723, 1), (0.8420424433052254, 1), (0.6602858769771955, 1), (0.6303502320305698, 1), (0.9408586196916486, 1), (0.26762946862422116, 1), (0.7018834758636194, 1), (0.3626354859769663, 1), (0.6568289706467598, 1), (0.28663067209477006, 1), (0.34363428250641476, 1)]","Guanosine 3,5-bis(diphosphate)"
gdptp_c,8.03602932513561,0.012546539457425815,"[(0.27268187465608823, 1), (0.6672546629059648, 1), (0.9428649800018489, 1), (0.27268187465660093, 1), (0.27268187465660315, 1), (0.29103846583892085, 1), (0.6672546629059601, 1), (0.8474011239920414, 1), (0.6672546629059246, 1), (0.6383345791377564, 1), (0.9428649800018567, 1), (0.2726818746566007, 1), (0.7074410709988557, 1), (0.36446483056820617, 1), (0.6639150314788049, 1), (0.2910384658389215, 1), (0.3461082393858825, 1)]",Guanosine-3-diphosphate-5-triphosphate
adcobdam_c,8.02714177927334,0.01258636833039032,"[(0.5515810313810403, 2), (0.5515810313809387, 1), (0.6248375794569676, 1), (0.6905425213616139, 1), (0.5437320023126831, 1), (0.5437320023126837, 1), (0.5551130944618011, 1), (0.6248375794569665, 1), (0.666051092423974, 1), (0.6248375794569642, 1), (0.62038495254504, 1), (0.6905425213616154, 1), (0.6351056381620994, 1), (0.5551130944618021, 1), (0.6303084584451232, 1), (0.5551130944618015, 1)]",Adenosyl-cobyrinate-diamide
histd_c,8.013420241805548,0.012648145911203314,"[(0.25746309848129784, 1), (0.5966455511220892, 1), (0.9630126638525838, 1), (0.25746309848154186, 1), (0.2574630984815461, 1), (0.2702773377414412, 1), (0.5966455511220858, 1), (0.8963719308623015, 1), (0.5966455511220781, 1), (0.6001412637278649, 1), (0.9630126638525902, 1), (0.25746309848154264, 1), (0.630599130163086, 1), (0.2702773377414502, 1), (0.6611910915192287, 1), (0.2702773377414452, 1), (0.2574630984815431, 1)]",L-Histidinol
frdp_c,8.010677929467297,0.0126605341634435,"[(0.3447822333972598, 1), (0.6308859927698772, 1), (0.9999999999996153, 1), (0.34478223339729985, 1), (0.3447822333972985, 1), (0.2998417202113598, 1), (0.630885992769878, 1), (0.999999999999618, 1), (0.6308859927697688, 1), (0.6976270985335403, 1), (0.9999999999996104, 1), (0.3447822333972959, 1), (0.6464507350012929, 1), (0.29984172021138067, 1), (0.7048599868600554, 1), (0.29984172021137484, 1), (0.3447822333973013, 1)]",Farnesyl-diphosphate
ggdp_c,8.00944214563909,0.012666121307163592,"[(0.3430003305321381, 1), (0.6250564778217096, 1), (0.9999999999995809, 1), (0.34300033053217915, 1), (0.3430003305321777, 1), (0.29694414089578774, 1), (0.6250564778217104, 1), (0.9999999999995836, 1), (0.6250564778215999, 1), (0.6934544734315035, 1), (0.9999999999995758, 1), (0.3430003305321749, 1), (0.6410076245495117, 1), (0.29694414089580784, 1), (0.7008669227510417, 1), (0.2969441408958018, 1), (0.34300033053218065, 1)]",Geranylgeranyl diphosphate
grdp_c,8.009053504942589,0.012667878989006814,"[(0.3480990155318737, 1), (0.6417368822386628, 1), (0.9999999999996783, 1), (0.34809901553191214, 1), (0.34809901553191075, 1), (0.3052351900214328, 1), (0.6417368822386633, 1), (0.9999999999996814, 1), (0.6417368822385567, 1), (0.7053939014630213, 1), (0.9999999999996738, 1), (0.3480990155319086, 1), (0.6565823823859925, 1), (0.30523519002145505, 1), (0.7122925601828665, 1), (0.3052351900214498, 1), (0.3480990155319133, 1)]",Geranyl-diphosphate
pendp_c,8.007931078137368,0.012672956894285914,"[(0.3418880792976998, 1), (0.6214177355960873, 1), (0.9999999999995597, 1), (0.3418880792977414, 1), (0.34188807929773996, 1), (0.29513549226868774, 1), (0.6214177355960879, 1), (0.9999999999995626, 1), (0.6214177355959767, 1), (0.6908499501931729, 1), (0.9999999999995548, 1), (0.34188807929773696, 1), (0.6376100732925498, 1), (0.29513549226870733, 1), (0.6983744802215561, 1), (0.2951354922687011, 1), (0.34188807929774284, 1)]",all-trans-Pentaprenyl diphosphate
