,0
MSHS_max,-3.89728912366243e-17
CHSTEROLt_max,-4.03000223941176e-17
FAD_7_min,-8.284058309786656e-17
FAD_7_max,-1.729331686275261e-16
VPAMTr_min,-0.005406337868228008
FACOAL180_min,-0.010880309080878902
ADNCYC_max,-0.014473728283837525
CYSM_II_max,-0.014815249717913929
FACOALPREPH_min,-0.020635097568737906
NARK_max,-0.02356951998398376
NARK_min,-0.03192926616708305
ADNCYC_min,-0.051405558643677254
FACOAL140_min,-0.0576106822408422
GXRA_max,-0.07080202143956431
PGCD_min,-0.07226628553834773
ALAD_L_max,-0.07310432535536476
MAN1PT2_min,-0.08039518197984827
FAS180_max,-0.08861807283353954
MAN1PT_max,-0.11029258900028932
MAN1PT_min,-0.11029258900028932
DHFR_max,-0.11206984030821665
FAS161_max,-0.1145163959540395
