,0
NADH5_max,0.12348778981527987
CYSM_II_min,0.04711540827087364
TYRTA_min,0.13719665143054766
PHETA1_min,0.13814217302407722
NADH5_min,0.14958710257926505
CYSM_II_max,0.09899083840308534
PGCD_max,0.06740589693494767
NADH2r_max,0.05890471890596908
FAD_10_min,0.07114592264672176
FAD_9_min,0.07114592264672176
FAD_14_min,0.07364175304564169
FAD_12_min,0.0739001703862456
FAD_11_min,0.0739001703862456
FAD_13_min,0.0739001703862456
FAD_16_min,0.0739648637331755
FAD_18_min,0.0739648637331755
FAD_19_min,0.0739648637331755
FAD_15_min,0.0739648637331755
FAD_17_min,0.0739648637331756
FAD_8_min,0.07399106709596173
ADNCYC_max,0.10588857154762318
ACCOAC_min,0.11694688999901318
ALAALAr_min,0.08049605519637773
