,F_value,pvalue,value_counts,name
gthox_c,5.539227222868705,0.024902029128852803,"[(0.8026152683829074, 1), (0.3879032614403607, 1), (0.6614086319216381, 1), (0.07331270090620068, 1), (0.7782383566350447, 1), (0.12009221983774665, 1), (0.6270299589250771, 1), (0.07310227158305804, 1), (0.10810780674014975, 1), (0.07331270090621445, 1), (0.4558949734593032, 1), (0.670805462626227, 1), (0.6708054626262222, 1), (0.49196126221890835, 1), (0.4631965941841921, 1), (0.6661388828668425, 1), (0.6805081141186109, 1), (0.6708054626262236, 1), (0.45604381282129114, 1), (0.11409958581150981, 1), (0.4560438128211185, 1), (0.445181743287396, 1), (0.808215814816575, 1), (0.8121613646220944, 1), (0.4842851936089778, 1), (0.07331270090624376, 1), (0.10866895160138168, 1), (0.44497131396545453, 1), (0.7879910131575433, 1), (0.1200922198377492, 1), (0.07310227158324012, 1), (0.09132755180305496, 1), (0.07331270090618935, 1), (0.45635945680557966, 1)]",Oxidized-glutathione
gthrd_c,5.459729939350617,0.025882202849868256,"[(0.7962958160968006, 1), (0.3607617554945438, 1), (0.6420513079907313, 1), (0.07374823786300055, 1), (0.7749618359046706, 1), (0.12627315096060387, 1), (0.6065594550809885, 1), (0.07331375183252076, 1), (0.11293562312556193, 1), (0.0737482378630171, 1), (0.46845331215858543, 1), (0.6602180146515293, 1), (0.6602180146515242, 1), (0.5101832965092584, 1), (0.47774980355045416, 1), (0.6480066340536308, 1), (0.6740670924521299, 1), (0.6602180146515255, 1), (0.46887216627733486, 1), (0.12034131344627086, 1), (0.468872166277156, 1), (0.4576583834116932, 1), (0.8018911953353394, 1), (0.8056929481003628, 1), (0.502513514873763, 1), (0.07374823786304707, 1), (0.11337010915585222, 1), (0.4572238973824432, 1), (0.7807399617229516, 1), (0.12627315096060654, 1), (0.07331375183271316, 1), (0.09383965800182614, 1), (0.07374823786299178, 1), (0.46898078778474994, 1)]",Reduced-glutathione
2agpe180_c,5.2477852507277225,0.028707903701678503,"[(0.10245000271502251, 1), (0.11415299127603293, 1), (0.14035917792197714, 1), (0.09092216075126797, 1), (0.13281781914573002, 1), (0.002342033345827471, 1), (0.1403591779219745, 1), (0.04975659562397981, 1), (0.0015163663028000263, 1), (0.04789795053041711, 1), (0.2323606908654668, 1), (0.12877796177429504, 1), (0.1431315756411407, 1), (0.0023420333458177567, 1), (5.551115123125783e-17, 1), (0.1348566767965904, 1), (0.13281781914572902, 1), (0.12877796177429526, 1), (0.04789795053034977, 1), (0.0025600624084146373, 1), (0.04789795053046354, 1), (0.047897950530353714, 1), (0.10308829399512294, 1), (0.10308829399512469, 1), (0.00256006240841114, 1), (0.09092216075115929, 1), (0.0013924566299048369, 1), (0.04975659562401062, 1), (0.1277679414755195, 1), (0.002342033345802269, 1), (0.09278080584465354, 1), (5.134781488891349e-15, 1), (0.09092216075125856, 1), (0.049756595623750136, 1)]",2-Acyl-sn-glycero-3-phosphoethanolamine-n-C180
mthgxl_c,5.120656074143637,0.03056387740251709,"[(0.7560931218268018, 2), (0.978624751442457, 1), (1.0, 1), (0.013890596483393636, 1), (0.9598427418824437, 1), (0.022412514114760085, 1), (0.6913389413254443, 1), (0.013462650633796924, 1), (0.013890596483415174, 1), (0.9771736495053618, 1), (0.013462650633790152, 1), (0.978624751442458, 1), (0.9786247514424572, 1), (0.022412514114763082, 1), (0.013462650633789486, 1), (0.9598427418824422, 1), (0.9786247514424569, 1), (0.9992636201887958, 1), (0.022726584756760815, 1), (0.9992636201887715, 1), (0.013890596483388307, 1), (0.9826662642042163, 1), (0.9825592777418145, 1), (0.02272658475675804, 1), (0.013890596483353335, 1), (0.013462650633794593, 1), (0.013462650633685347, 1), (0.982559277741801, 1), (0.022412514114741433, 1), (0.013462650633786266, 1), (0.013462650633785711, 1), (0.013890596483386197, 1), (0.013462650633788042, 1)]",Methylglyoxal
gthrd_e,5.047481642997467,0.03169155736005861,"[(0.731612370461701, 1), (0.20724070309616716, 1), (0.6053358442102657, 1), (0.09744094877622411, 1), (0.700879002213225, 1), (0.1668402661690932, 1), (0.5584417092239377, 1), (0.09686687768969682, 1), (0.14921786047866703, 1), (0.0974409487762451, 1), (0.6189508592584003, 1), (0.5518175649933778, 1), (0.5518175649933703, 1), (0.6740872175684148, 1), (0.6312339858491192, 1), (0.5867672424271555, 1), (0.5675703318852305, 1), (0.5518175649933724, 1), (0.6195042764505627, 1), (0.15900273822087607, 1), (0.6195042764503879, 1), (0.6046879001755971, 1), (0.7370338872809182, 1), (0.7414829381995947, 1), (0.6639534052750629, 1), (0.09744094877628551, 1), (0.14979193156495074, 1), (0.6041138290906877, 1), (0.7085134363122129, 1), (0.16684026616909509, 1), (0.09686687768994351, 1), (0.12398703444983317, 1), (0.09744094877621268, 1), (0.6196477942219885, 1)]",Reduced-glutathione
arachcoa_c,4.855381422580923,0.03487546711934989,"[(0.7369239273669482, 1), (0.5612555609746748, 1), (0.9225302303648314, 1), (0.15946583935092806, 1), (0.7574777322882691, 1), (0.5419360155905782, 1), (0.9695427689583797, 1), (0.16853085897902065, 1), (0.4035419050896378, 1), (0.16730245168532154, 1), (0.532125539282187, 1), (0.7413198089917136, 1), (0.7188736152044892, 1), (0.1981946639252754, 1), (0.20780743317050432, 1), (1.0, 1), (0.7443395341382235, 1), (0.7413198089917151, 1), (0.19983710255510378, 1), (0.18323456811309158, 1), (0.19983710255495368, 1), (0.19721584614296217, 1), (0.7399903134574857, 1), (0.7407308730090443, 1), (0.2130464001179384, 1), (0.1594658393509477, 1), (0.1809813909198188, 1), (0.19661211378473575, 1), (0.7342913379890902, 1), (0.16828126946764554, 1), (0.1588621069927001, 1), (0.17789403871286824, 1), (0.15946583935214065, 1), (0.19936032326272846, 1)]",arachidyl-coenzyme-A
thm_c,4.813579076052422,0.035613930157505067,"[(0.9779516184047894, 1), (0.8096820618439124, 1), (0.7815638933699446, 1), (0.2278236285980476, 1), (0.9570237995354741, 1), (0.22692181882562867, 1), (0.7816426006564907, 1), (0.3437548161112809, 1), (0.22731144571800632, 1), (0.34214810833670306, 1), (0.40540887049515795, 1), (0.9567424160468064, 1), (0.9558415774856273, 1), (0.3921990019279029, 1), (0.2854341209730681, 1), (0.8354732808694407, 1), (0.9337829640549625, 1), (0.9567424160466915, 1), (0.4037324613038896, 1), (0.3497407834460535, 1), (0.4037324613053148, 1), (0.4019846714866129, 1), (0.9704110397600441, 1), (0.9687074484996739, 1), (0.30825934814665323, 1), (0.010038779116911756, 1), (0.2296789700727807, 1), (0.2838345283397745, 1), (0.9648182547303895, 1), (0.22692181882562767, 1), (0.34192237713157403, 1), (0.22559755778797563, 1), (0.010038779119222019, 1), (0.40542381827451945, 1)]",Thiamin
ocdca_c,4.802352823061384,0.03581516687977802,"[(0.9067158377114714, 1), (0.8874051799758488, 1), (0.8528435341982783, 1), (0.8891408251467106, 1), (0.8699403174611362, 1), (0.9971444158162102, 1), (0.8528435341982814, 1), (0.9393329955116981, 1), (0.9981511315204703, 1), (0.9415991961795553, 1), (0.7166882722007158, 1), (0.8746147988363967, 1), (0.8571137872425985, 1), (0.9971444158162222, 1), (1.0, 1), (0.8621616807643652, 1), (0.8699403174611373, 1), (0.8746147988363974, 1), (0.9415991961796437, 1), (0.9968785782935123, 1), (0.9415991961794987, 1), (0.9415991961796331, 1), (0.9061321479593532, 1), (0.9061888029760415, 1), (0.9968785782935166, 1), (0.8891408251468427, 1), (0.9983022115649831, 1), (0.9393329955116614, 1), (0.876097510240144, 1), (0.9971444158162406, 1), (0.8868746244790698, 1), (0.9999999999999938, 1), (0.8891408251467217, 1), (0.939332995511979, 1)]",octadecanoate-n-C180
s_c,4.744755449963499,0.036867509161344986,"[(0.7933711221358194, 1), (0.5220986326786801, 1), (0.6372251340907333, 1), (0.09587856834457475, 1), (0.7329773841948655, 1), (0.12386270214395334, 1), (0.6372251340907304, 1), (0.08824107996505315, 1), (0.08056231286645354, 1), (0.09587856834459152, 1), (0.327061212950587, 1), (0.7110565372750897, 1), (0.7110565372750848, 1), (0.4043496510765441, 1), (0.2952029430406502, 1), (0.6958554297523827, 1), (0.7329773841948546, 1), (0.7110565372750851, 1), (0.32810898299741076, 1), (0.14086869604011465, 1), (0.3281089829972458, 1), (0.32810898299729185, 1), (0.7542570509424721, 1), (0.7513782543112315, 1), (0.3715221655850134, 1), (0.09587856834460895, 1), (0.126605913288663, 1), (0.2765785080424502, 1), (0.7362839869665753, 1), (0.12386270214394324, 1), (0.09535291997532003, 1), (0.06297252838798839, 1), (0.09587856834459163, 1), (0.32758333462801414, 1)]",Sulfur
hdca_c,4.509180557480619,0.04154062123631247,"[(0.8208548809184626, 1), (0.8559134020681871, 1), (0.8275713680142922, 1), (0.8910790272165046, 1), (0.7836985520136142, 1), (0.974958702754715, 1), (0.8275713680142964, 1), (0.9440316646644352, 1), (0.9908084060060413, 1), (0.9459272173104762, 1), (0.7114532339513506, 1), (0.7872914315057472, 1), (0.7692557982060421, 1), (0.9749587027547229, 1), (0.9999999999999916, 1), (0.8295198977307793, 1), (0.7836985520136153, 1), (0.787291431505749, 1), (0.9459272173105402, 1), (0.9888111203311286, 1), (0.9459272173104247, 1), (0.9459272173105491, 1), (0.8182103316244368, 1), (0.8181510956042523, 1), (0.9890480644118583, 1), (0.8910790272166229, 1), (0.9911243314470202, 1), (0.9440316646643783, 1), (0.7866889493031651, 1), (0.9749587027547477, 1), (0.8891834745706574, 1), (0.9999999999999867, 1), (0.8910790272165104, 1), (0.9440316646646895, 1)]",Hexadecanoate-n-C160
